timestamp,node_serial_number,session_id,sample_period,min_log_sequence,max_log_sequence,battery_level,battery_state,temperature_setpoint,control_temperature,control_device_type,control_device_serial,app_mode,control_device_connected,lid_open,fixed_speed,fan_state,fan_duty_cycle,fan_commanded_speed,fan_measured_speed,fan_off_time,fan_on_time,hop_count
2026-01-26T22:23:51.541219,ENGDEV0009,3980105984,5000,3833,3833,OK,NOT_CHARGING,156.0,40.7,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:23:54.953078,ENGDEV0009,3980105984,5000,3834,3834,OK,NOT_CHARGING,156.0,40.5,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:24:00.357105,ENGDEV0009,3980105984,5000,3835,3835,OK,NOT_CHARGING,156.0,40.5,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:24:04.745403,ENGDEV0009,3980105984,5000,3836,3836,OK,NOT_CHARGING,156.0,40.2,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:24:10.586287,ENGDEV0009,3980105984,5000,3837,3837,OK,NOT_CHARGING,156.0,40.2,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:24:16.954262,ENGDEV0009,3980105984,5000,3838,3838,OK,NOT_CHARGING,156.0,40.0,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:24:19.497622,ENGDEV0009,3980105984,5000,3839,3839,OK,NOT_CHARGING,156.0,39.9,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:24:24.757673,ENGDEV0009,3980105984,5000,3840,3840,OK,NOT_CHARGING,156.0,39.7,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:24:29.662352,ENGDEV0009,3980105984,5000,3841,3841,OK,NOT_CHARGING,156.0,39.5,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:24:34.546567,ENGDEV0009,3980105984,5000,3842,3842,OK,NOT_CHARGING,156.0,39.2,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:24:41.923543,ENGDEV0009,3980105984,5000,3843,3843,OK,NOT_CHARGING,156.0,39.2,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:24:44.870853,ENGDEV0009,3980105984,5000,3844,3844,OK,NOT_CHARGING,156.0,39.2,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:24:49.878175,ENGDEV0009,3980105984,5000,3845,3845,OK,NOT_CHARGING,156.0,39.0,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:24:55.783411,ENGDEV0009,3980105984,5000,3846,3846,OK,NOT_CHARGING,156.0,39.0,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:25:00.217414,ENGDEV0009,3980105984,5000,3847,3847,OK,NOT_CHARGING,156.0,39.0,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:25:05.636488,ENGDEV0009,3980105984,5000,3848,3848,OK,NOT_CHARGING,156.0,38.7,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:25:10.531020,ENGDEV0009,3980105984,5000,3849,3849,OK,NOT_CHARGING,156.0,38.5,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:25:14.922331,ENGDEV0009,3980105984,5000,3850,3850,OK,NOT_CHARGING,156.0,38.5,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:25:19.842751,ENGDEV0009,3980105984,5000,3851,3851,OK,NOT_CHARGING,156.0,38.5,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:25:25.192982,ENGDEV0009,3980105984,5000,3852,3852,OK,NOT_CHARGING,156.0,38.4,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:25:30.111193,ENGDEV0009,3980105984,5000,3853,3853,OK,NOT_CHARGING,156.0,38.2,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:25:35.066501,ENGDEV0009,3980105984,5000,3854,3854,OK,NOT_CHARGING,156.0,38.0,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
